center_nm,L,a,b,within_MacAdam_hull
370,4.48802232167,83.5371169646,-78.0382937931,False
380,7.51092406305,91.5126226918,-87.0409431916,False
390,11.6263144846,94.0521738512,-93.7800521924,False
400,16.1686240553,93.3337832181,-98.931817632,False
410,21.114447633,88.8027978124,-102.062477701,False
420,26.4373366047,80.0197436672,-102.770104379,False
430,32.0944418033,66.7947612273,-100.736980137,False
440,38.0237221484,49.2854403928,-95.7610224184,True
450,44.1420862053,28.0959033653,-87.7803018557,True
460,50.3451430587,4.36121809375,-76.887396856,True
470,56.5090477073,-20.2209347261,-63.3313913862,True
480,62.4946003362,-43.4848267314,-47.5067903495,True
490,68.1533829018,-63.1057748406,-29.9302342598,True
500,73.3353788694,-77.1221566327,-11.2073638937,True
510,77.8972887155,-84.4531839039,8.00671174836,True
520,81.7106584028,-85.0855164161,27.0492977818,True
530,84.668983535,-79.8385694665,45.2902663279,True
540,86.6931181916,-69.9464420537,62.1668905801,True
550,87.7345686558,-56.7223371016,77.2106775421,True
560,87.7765431128,-41.3867680394,90.0646816375,True
570,86.8329105689,-25.0118207972,100.491018195,True
580,84.9454510114,-8.51608794692,108.369419546,True
590,82.1799203248,7.32869120967,113.68853057,True
600,78.6214910296,21.8937442853,116.532121653,True
610,74.3700680442,34.693601499,116.898691868,True
620,69.5358427692,45.3873691966,113.526548296,True
630,64.2352794057,53.7771102854,107.242877184,True
640,58.5875697012,59.8007096372,99.1084886845,True
650,52.71148345,63.5182930941,89.8594350506,True
660,46.7225009642,65.0927988288,80.0116581911,True
670,40.7301369781,64.7663725067,69.9363509035,False
680,34.8354310782,62.8347900778,59.909631958,False
690,29.1286568319,59.6221583409,50.1428079847,False
700,23.6873616332,55.4578324578,40.799524479,False
710,18.5748739039,50.6569720687,32.0049575734,False
720,13.8393996237,45.5055692797,23.850750973,False
