X,Y,Z,L,a,b,R,G,B,hue_deg,chroma
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.866542489431934996e-06,8.643762071674279670e-08,1.337499155384677546e-05,7.807878265353451752e-05,1.140617188490067324e-02,-1.899229263632173925e-02,3.214094091769368114e-05,0.000000000000000000e+00,1.844908786027280782e-04,3.009876991960984469e+02,2.215418553347379277e-02
8.287666792379198968e-06,2.491180635001452262e-07,3.874052793041173320e-05,2.250274240971350537e-04,3.298027032173911355e-02,-5.501292684450542758e-02,9.248241781621786210e-05,0.000000000000000000e+00,5.343682839178925774e-04,3.009427031032473678e+02,6.414140901550176299e-02
9.532554122900670701e-06,6.986696910023018513e-07,3.874052793041173320e-05,6.311057442189849098e-04,3.632958200533442650e-02,-5.431279180981851695e-02,1.356759155695342006e-04,0.000000000000000000e+00,5.340792837520924813e-04,3.037783861737844973e+02,6.534307830871613487e-02
1.975834270109097133e-05,1.004038503930183054e-06,8.670240928292638190e-05,9.069442619384915361e-04,7.703030556786838456e-02,-1.224251129225584211e-01,2.487844802635804189e-04,0.000000000000000000e+00,1.195625643575296427e-03,3.021782451104012353e+02,1.446429267194920820e-01
2.156649282125097777e-05,1.656994641466392345e-06,8.670240928292638190e-05,1.496757122620095970e-03,8.189504970908256798e-02,-1.214081941972477985e-01,3.115213451691145239e-04,0.000000000000000000e+00,1.195205882159824538e-03,3.040013586145455520e+02,1.464470852734520434e-01
3.947343305390929417e-05,2.188697478471699798e-06,1.708766186289982156e-04,1.977042326018363383e-03,1.531801798445447949e-01,-2.409534730054563312e-01,5.084573150160006175e-04,0.000000000000000000e+00,2.356217694718137912e-03,3.024451460800263476e+02,2.855218794603983645e-01
4.209940360187463637e-05,3.136983489928063851e-06,1.708766186289982156e-04,2.833625567994602079e-03,1.602452322236602722e-01,-2.394766053468722067e-01,5.995698615210834142e-04,0.000000000000000000e+00,2.355608076753498877e-03,3.037883703748548783e+02,2.881450658242760698e-01
7.444757726730456934e-05,4.059190195302163055e-06,3.233954435487326035e-04,3.666651469380610706e-03,2.891680735813417780e-01,-4.561499513171640707e-01,9.531145980556611150e-04,0.000000000000000000e+00,4.459332653015154850e-03,3.023719202406761610e+02,5.400842090502141479e-01
7.759264258351024476e-05,5.194931292174916988e-06,3.233954435487326035e-04,4.692562195735661135e-03,2.976297246224807180e-01,-4.543811397200003821e-01,1.062238017492537654e-03,0.000000000000000000e+00,4.458602526186564684e-03,3.032256880781113182e+02,5.431810684404420053e-01
1.329375906053240509e-04,6.779044294588192144e-06,5.845263237726392672e-04,6.123485603730216553e-03,5.181811224975324537e-01,-8.253443346012911963e-01,1.665810632962383235e-03,0.000000000000000000e+00,8.060394487396852284e-03,3.021220934337637800e+02,9.745280634087716276e-01
1.365867805433952544e-04,8.096833866598353343e-06,5.845263237726392672e-04,7.313840043423169845e-03,5.279990981142401729e-01,-8.232919993604370656e-01,1.792425522702918760e-03,0.000000000000000000e+00,8.059547328642488462e-03,3.026731346296613765e+02,9.780556036444741919e-01
2.462991044386778744e-04,1.119970421008973078e-05,1.102964502236852048e-03,1.011665133258787819e-02,9.653517579130271864e-01,-1.559852259796129514e+00,2.984570321574459527e-03,0.000000000000000000e+00,1.521038318823432142e-02,3.017522812455190433e+02,1.834405377471638232e+00
2.524107507531814145e-04,1.340673148461287341e-05,1.102964502236852048e-03,1.211025089548911637e-02,9.817948599505493812e-01,-1.556415019170437342e+00,3.196624360483436844e-03,0.000000000000000000e+00,1.520896437218392100e-02,3.022439466618297388e+02,1.840203483021546571e+00
5.010869238035290957e-04,2.046068306002796691e-05,2.280031721341831390e-03,1.848205922781431809e-02,1.973025783597329053e+00,-3.228694520325753103e+00,5.885691489086119013e-03,0.000000000000000000e+00,3.144397016774551357e-02,3.014287217388827003e+02,3.783820694525759087e+00
5.110856704507327902e-04,2.407141320104897583e-05,2.280031721341831390e-03,2.174361839112393113e-02,1.999926950125879843e+00,-3.223071142457978322e+00,6.232615136392686585e-03,0.000000000000000000e+00,3.144164896346519911e-02,3.018197466677592047e+02,3.793137935164654806e+00
1.071410506490892917e-03,3.957725772039932653e-05,4.936778452898312776e-03,3.574999031640047065e-02,4.234911089363080805e+00,-6.998203793696139208e+00,1.227015433128984118e-02,0.000000000000000000e+00,6.357695729671103413e-02,3.011799180583128646e+02,8.179812239465734436e+00
1.087028149501256943e-03,4.521707432835695020e-05,4.936778452898312776e-03,4.084441577015951452e-02,4.276929636122209111e+00,-6.989420301534482682e+00,1.281203520957160252e-02,0.000000000000000000e+00,6.357432629060164042e-02,3.014630801600949326e+02,8.194151772077621132e+00
2.042960436066555176e-03,7.159899168074121520e-05,9.479414847011978160e-03,6.467510400376141888e-02,8.090163438263560991e+00,-1.344453163065320034e+01,2.304836836361505437e-02,0.000000000000000000e+00,1.006178919772831304e-01,3.010371646446537852e+02,1.569095839091579769e+01
2.067477577561475065e-03,8.045257975104801260e-05,9.479414847011978160e-03,7.267251731660451242e-02,8.156125675392491559e+00,-1.343074298701036895e+01,2.389903259224783472e-02,0.000000000000000000e+00,1.006150690999868536e-01,3.012691737039140776e+02,1.571328238198260152e+01
3.950910872803406991e-03,1.328302926272312712e-04,1.845721455818588250e-02,1.199851113661303259e-01,1.566762864579687786e+01,-2.357994013861251048e+01,4.374374975062807896e-02,0.000000000000000000e+00,1.504163559371710923e-01,3.036019450754340596e+02,2.831056630170340327e+01
3.985206632980774384e-03,1.452151195380029479e-04,1.845721455818588250e-02,1.311722796449004136e-01,1.575989980169921445e+01,-2.356065191744221465e+01,4.485074955872913466e-02,0.000000000000000000e+00,1.504136788933562729e-01,3.037788662982601409e+02,2.834570091803115943e+01
7.381340722543108801e-03,2.405851094291004124e-04,3.470073623092186782e-02,2.173196382913431535e-01,2.930075185499783785e+01,-3.544445666414528517e+01,7.229830295389025330e-02,0.000000000000000000e+00,2.122206405771289162e-01,3.095794056886418275e+02,4.598742836346290375e+01
7.428956180393248530e-03,2.577799266039406843e-04,3.470073623092186782e-02,2.328516529608677388e-01,2.942885902729772241e+01,-3.541767732850817652e+01,7.337736035765146658e-02,0.000000000000000000e+00,2.122180687997523574e-01,3.097234896329870821e+02,4.604855710003175773e+01
1.336963226722757275e-02,4.346120768296983300e-04,6.324144527735915677e-02,3.925834793259070921e-01,5.004005973216950309e+01,-4.918553385138162071e+01,1.068891258221375262e-01,0.000000000000000000e+00,2.881384444808474665e-01,3.154934162078304212e+02,7.016569188887471853e+01
1.343337785899721172e-02,4.576317762765679930e-04,6.324144527735915677e-02,4.133770885781196114e-01,5.014195453934523528e+01,-4.914968280094677056e+01,1.079224299459402570e-01,0.000000000000000000e+00,2.881360184561110316e-01,3.155725667512099335e+02,7.021329592363149175e+01
2.258499016093902176e-02,7.686937020770763605e-04,1.075166404977990070e-01,6.943581740725122131e-01,7.178873239591834476e+01,-6.365200878785416450e+01,1.446438119910699593e-01,0.000000000000000000e+00,3.730336089486348539e-01,3.184379631494806517e+02,9.594373518756624719e+01
2.266950104266813801e-02,7.992121269289078050e-04,1.075166404977990070e-01,7.219253542099686172e-01,7.184898124681070897e+01,-6.360447916692750425e+01,1.456662095384294864e-01,0.000000000000000000e+00,3.730312487677097666e-01,3.184830644778073179e+02,9.595731278178162427e+01
3.431350486946072725e-02,1.274979807065554881e-03,1.643462696010177804e-01,1.151684537574880096e+00,9.132269778281262518e+01,-7.690770514019106940e+01,1.802939695774873896e-01,0.000000000000000000e+00,4.557752861466259353e-01,3.198974844082472941e+02,1.193927562302734628e+02
3.444568000393853635e-02,1.322710662885454155e-03,1.643462696010177804e-01,1.194799642856047228e+00,9.134876821666784963e+01,-7.683336875177526792e+01,1.815641806800612768e-01,0.000000000000000000e+00,4.557724039104211200e-01,3.199328381847579976e+02,1.193648357283198465e+02
4.933201222195757185e-02,2.085833446908103884e-03,2.378924544915997363e-01,1.884125627283030013e+00,1.094233223057002107e+02,-8.961523879542559712e+01,2.152182043325807648e-01,0.000000000000000000e+00,5.408087574819380183e-01,3.206832954429368101e+02,1.414367508421283901e+02
4.953570994196183214e-02,2.159392424649486143e-03,2.378924544915997363e-01,1.950571179436156655e+00,1.093932739359090363e+02,-8.950067749860986055e+01,2.168303150038384253e-01,0.000000000000000000e+00,5.408051770245365653e-01,3.207115062084598094e+02,1.413409341101402390e+02
6.681658052294425776e-02,3.300600714998045034e-03,3.245776438714412238e-01,2.981420401410641574e+00,1.245412706893508386e+02,-1.008670870085857985e+02,2.468344413831730644e-01,0.000000000000000000e+00,6.230601583572145108e-01,3.209956783965979525e+02,1.602644606471309316e+02
6.709665551514532034e-02,3.401740913239148685e-03,3.245776438714412238e-01,3.072779967888504160e+00,1.244354073657565891e+02,-1.007095705146584521e+02,2.487324990121926871e-01,0.000000000000000000e+00,6.230560506393515441e-01,3.210156419416894096e+02,1.600830665608600611e+02
8.536642800255270225e-02,4.965951739317238205e-03,4.181468458367699759e-01,4.485725813711411547e+00,1.356171345971690130e+02,-1.100434826122238974e+02,2.728700147477683968e-01,0.000000000000000000e+00,6.984086666729807380e-01,3.209431723888336023e+02,1.746470018688368100e+02
8.575130411132358965e-02,5.104937526838338943e-03,4.181468458367699759e-01,4.611271160817043580e+00,1.354119987183959779e+02,-1.098270251172141769e+02,2.751917336095482391e-01,0.000000000000000000e+00,6.984037961018124685e-01,3.209559326819504577e+02,1.743513258997707567e+02
1.043644501968681165e-01,7.208743449654198519e-03,5.162567277810123922e-01,6.511631259022824025e+00,1.423961735870295229e+02,-1.171306980446762367e+02,2.927844070414956090e-01,0.000000000000000000e+00,7.673937128530350371e-01,3.205603404318936214e+02,1.843807763207991286e+02
1.048940737498559456e-01,7.400096706835341230e-03,5.162567277810123922e-01,6.684479947518781273e+00,1.420554672107456327e+02,-1.168326830645108032e+02,2.957230329257733437e-01,0.000000000000000000e+00,7.673877719106749762e-01,3.205646132080002531e+02,1.839283327726200525e+02
1.225989816639082297e-01,1.006666583101013812e-02,6.131476279783720784e-01,9.046855290519847159e+00,1.446713803628990433e+02,-1.219617606477345646e+02,3.057232660611602371e-01,0.000000000000000000e+00,8.282803228647561689e-01,3.198682345501571831e+02,1.892207159811047461e+02
1.233478368713393225e-01,1.033750729590041800e-02,6.131476279783720784e-01,9.269497100471461692e+00,1.442250464827629060e+02,-1.215778954581628000e+02,3.096635133106752646e-01,0.000000000000000000e+00,8.282726898866343834e-01,3.198699981265419297e+02,1.886320457848853493e+02
1.395581144516734595e-01,1.368213128083867886e-02,7.061950672393543238e-01,1.174443639791805793e+01,1.441934368147759642e+02,-1.252744044099558351e+02,3.115941204045769020e-01,0.000000000000000000e+00,8.815704876807939350e-01,3.190160817341279653e+02,1.910115798079424110e+02
1.407101078333153066e-01,1.409951003795632991e-02,7.061950672393543238e-01,1.202373362708015492e+01,1.437133832424979403e+02,-1.247928574631246335e+02,3.174966291836979204e-01,0.000000000000000000e+00,8.815595925200624405e-01,3.190307342913473576e+02,1.903333754148673336e+02
1.545319955543521251e-01,1.816736150185365925e-02,7.903098686193477107e-01,1.449452984360553742e+01,1.414550941851842367e+02,-1.271497424804222618e+02,3.109949316938514507e-01,0.000000000000000000e+00,9.262031431001043202e-01,3.180485774612836281e+02,1.902014739264052992e+02
1.562643948897648738e-01,1.879705550873877681e-02,7.903098686193477107e-01,1.484285677926542490e+01,1.409696793045764309e+02,-1.265491787982500256e+02,3.198361100650734534e-01,0.000000000000000000e+00,9.261875911064417766e-01,3.180855205913310897e+02,1.894390274936676803e+02
1.668817113059082591e-01,2.374158585036819855e-02,8.602898098052756959e-01,1.733966493571930556e+01,1.362757826251991844e+02,-1.273998139326655803e+02,3.042505649447601601e-01,0.000000000000000000e+00,9.611016935152886242e-01,3.169279887502768247e+02,1.865524095802258842e+02
1.692975971547430181e-01,2.462285238642112489e-02,8.602898098052756959e-01,1.774717651325977386e+01,1.358638617013358498e+02,-1.266972077644923615e+02,3.168018392493510693e-01,0.000000000000000000e+00,9.610807446856802772e-01,3.169995247210201796e+02,1.857718260978199396e+02
1.770560709814932854e-01,3.077066486279046373e-02,9.171761847531372247e-01,2.034993310393745247e+01,1.288785377070652771e+02,-1.261981226926113493e+02,2.916315389704440819e-01,0.000000000000000000e+00,9.880567613905698598e-01,3.156020574950833293e+02,1.803763943886528409e+02
1.804585904912651972e-01,3.201643859634539790e-02,9.171761847531372247e-01,2.083400953203154415e+01,1.286096227629880957e+02,-1.253635081614146571e+02,3.099738029260253325e-01,0.000000000000000000e+00,9.880278995124437413e-01,3.157322764378614011e+02,1.796007913283657729e+02
1.857044384596585884e-01,3.964167682894731426e-02,9.617664464688440162e-01,2.355262649328231817e+01,1.196495290032318906e+02,-1.236886984032221619e+02,2.746759883419361281e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.140490351206086075e+02,1.720898134794110206e+02
1.903636475232028946e-01,4.135543541024110092e-02,9.617664464688440162e-01,2.411457436082385897e+01,1.196337611067880573e+02,-1.227198227695298556e+02,3.010994749333001375e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.142704512563395269e+02,1.713837556396196362e+02
1.934446980616865430e-01,5.035667382530405883e-02,9.945281895956120666e-01,2.683614052754473533e+01,1.094727019403037502e+02,-1.201819606248479886e+02,2.566938180461210139e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.123301167350391552e+02,1.625668358852539654e+02
1.997033470991866067e-01,5.267188056446418104e-02,9.945281895956120666e-01,2.748280955236366196e+01,1.098235911145784058e+02,-1.190670140303325724e+02,2.940349302715505320e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.126874476744698654e+02,1.619820205930322174e+02
2.013513766565050156e-01,6.338175586947455975e-02,1.018477904980597648e+00,3.025010730293322325e+01,9.871101731964832027e+01,-1.158410421450832217e+02,2.407623800145822224e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.104351378901862972e+02,1.521939945777718890e+02
2.096422453825016186e-01,6.647519385777504730e-02,1.018477904980597648e+00,3.099062196952756665e+01,9.955529535022780863e+01,-1.145642927199205445e+02,2.920586702661128742e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.109903346891596811e+02,1.517769218250479923e+02
2.104009573729069826e-01,7.982233132164036349e-02,1.036712799280611774e+00,3.394585574524052873e+01,8.718122258995789764e+01,-1.106294056380217512e+02,2.271901340329291474e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.082397876249362980e+02,1.408525149370849761e+02
2.211357840123144569e-01,8.387392373933559575e-02,1.036712799280611774e+00,3.477699271117589319e+01,8.865765454506960452e+01,-1.091964108691676500e+02,2.949781378867821213e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.090734896833703829e+02,1.406557352408389079e+02
